cdn.jsdelivr.net cdn.jsdelivr.net.cdn.cloudflare.net
d2.xboxlive.cn.delivery.microsoft.com assets-xlc.xboxlive.cn.z.cngslb.com
xbx-b-cn-geo.trafficmanager.net assets-xlc.xboxlive.cn.z.cngslb.com

dlassets.xboxlive.cn dlassets.xboxlive.cn.cdn.dnsv1.com
dlassets.xboxlive.cn.delivery.microsoft.com dlassets.xboxlive.cn.cdn.dnsv1.com
xbx-dl-cn-geo.trafficmanager.net dlassets.xboxlive.cn.cdn.dnsv1.com

dlassets2.xboxlive.cn dlassets.xboxlive.cn.cdn.dnsv1.com
dlassets2.xboxlive.cn.delivery.microsoft.com dlassets.xboxlive.cn.cdn.dnsv1.com

regexp:^.+\.maelstrom\.gameservices\.xboxlive\.com$ rtep-ingestion-shared-na-1.centralus.cloudapp.azure.com
maelstrom-gsxbl.trafficmanager.net rtep-ingestion-shared-na-1.centralus.cloudapp.azure.com
